kommune_no,kommune_name,fylke_no,fylke_name,population_kommune
0301,Oslo,03,Oslo,693494
1101,Eigersund,11,Rogaland,14811
1103,Stavanger,11,Rogaland,143574
1106,Haugesund,11,Rogaland,37357
1108,Sandnes,11,Rogaland,79537
1111,Sokndal,11,Rogaland,3280
1112,Lund,11,Rogaland,3202
1114,Bjerkreim,11,Rogaland,2787
1119,Hå,11,Rogaland,18991
1120,Klepp,11,Rogaland,19588
1121,Time,11,Rogaland,18916
1122,Gjesdal,11,Rogaland,12002
1124,Sola,11,Rogaland,27153
1127,Randaberg,11,Rogaland,11221
1130,Strand,11,Rogaland,12968
1133,Hjelmeland,11,Rogaland,2574
1134,Suldal,11,Rogaland,3804
1135,Sauda,11,Rogaland,4595
1144,Kvitsøy,11,Rogaland,517
1145,Bokn,11,Rogaland,852
1146,Tysvær,11,Rogaland,11065
1149,Karmøy,11,Rogaland,42186
1151,Utsira,11,Rogaland,198
1160,Vindafjord,11,Rogaland,8714
1505,Kristiansund,15,Møre og Romsdal,24179
1506,Molde,15,Møre og Romsdal,31967
1507,Ålesund,15,Møre og Romsdal,66258
1511,Vanylven,15,Møre og Romsdal,3117
1514,Sande,15,Møre og Romsdal,2461
1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,8900
1516,Ulstein,15,Møre og Romsdal,8571
1517,Hareid,15,Møre og Romsdal,5175
1520,Ørsta,15,Møre og Romsdal,10825
1525,Stranda,15,Møre og Romsdal,4523
1528,Sykkylven,15,Møre og Romsdal,7625
1531,Sula,15,Møre og Romsdal,9310
1532,Giske,15,Møre og Romsdal,8462
1535,Vestnes,15,Møre og Romsdal,6532
1539,Rauma,15,Møre og Romsdal,7468
1547,Aukra,15,Møre og Romsdal,3509
1554,Averøy,15,Møre og Romsdal,5788
1557,Gjemnes,15,Møre og Romsdal,2629
1560,Tingvoll,15,Møre og Romsdal,3025
1563,Sunndal,15,Møre og Romsdal,7036
1566,Surnadal,15,Møre og Romsdal,5920
1573,Smøla,15,Møre og Romsdal,2150
1576,Aure,15,Møre og Romsdal,3507
1577,Volda,15,Møre og Romsdal,10473
1578,Fjord,15,Møre og Romsdal,2549
1579,Hustadvika,15,Møre og Romsdal,13279
1804,Bodø,18,Nordland,52357
1806,Narvik,18,Nordland,21845
1811,Bindal,18,Nordland,1426
1812,Sømna,18,Nordland,1975
1813,Brønnøy,18,Nordland,7917
1815,Vega,18,Nordland,1200
1816,Vevelstad,18,Nordland,462
1818,Herøy (Nordland),18,Nordland,1777
1820,Alstahaug,18,Nordland,7447
1822,Leirfjord,18,Nordland,2294
1824,Vefsn,18,Nordland,13278
1825,Grane,18,Nordland,1482
1826,Hattfjelldal,18,Nordland,1297
1827,Dønna,18,Nordland,1371
1828,Nesna,18,Nordland,1761
1832,Hemnes,18,Nordland,4454
1833,Rana,18,Nordland,26184
1834,Lurøy,18,Nordland,1890
1835,Træna,18,Nordland,435
1836,Rødøy,18,Nordland,1213
1837,Meløy,18,Nordland,6288
1838,Gildeskål,18,Nordland,1950
1839,Beiarn,18,Nordland,1017
1840,Saltdal,18,Nordland,4671
1841,Fauske,18,Nordland,9739
1845,Sørfold,18,Nordland,1926
1848,Steigen,18,Nordland,2608
1851,Lødingen,18,Nordland,2034
1853,Evenes,18,Nordland,1348
1856,Røst,18,Nordland,498
1857,Værøy,18,Nordland,728
1859,Flakstad,18,Nordland,1272
1860,Vestvågøy,18,Nordland,11433
1865,Vågan,18,Nordland,9608
1866,Hadsel,18,Nordland,8061
1867,Bø,18,Nordland,2569
1868,Øksnes,18,Nordland,4410
1870,Sortland,18,Nordland,10566
1871,Andøy,18,Nordland,4663
1874,Moskenes,18,Nordland,1015
1875,Hamarøy,18,Nordland,2766
3001,Halden,30,Viken,31373
3002,Moss,30,Viken,49273
3003,Sarpsborg,30,Viken,56732
3004,Fredrikstad,30,Viken,82385
3005,Drammen,30,Viken,101386
3006,Kongsberg,30,Viken,27723
3007,Ringerike,30,Viken,30641
3011,Hvaler,30,Viken,4668
3012,Aremark,30,Viken,1325
3013,Marker,30,Viken,3595
3014,Indre Østfold,30,Viken,44792
3015,Skiptvet,30,Viken,3805
3016,Rakkestad,30,Viken,8255
3017,Råde,30,Viken,7508
3018,Våler (Viken),30,Viken,5736
3019,Vestby,30,Viken,18042
3020,Nordre Follo,30,Viken,59288
3021,Ås,30,Viken,20439
3022,Frogn,30,Viken,15877
3023,Nesodden,30,Viken,19616
3024,Bærum,30,Viken,127731
3025,Asker,30,Viken,94441
3026,Aurskog-Høland,30,Viken,17390
3027,Rælingen,30,Viken,18530
3028,Enebakk,30,Viken,11110
3029,Lørenskog,30,Viken,41460
3030,Lillestrøm,30,Viken,85983
3031,Nittedal,30,Viken,24249
3032,Gjerdrum,30,Viken,6890
3033,Ullensaker,30,Viken,39625
3034,Nes,30,Viken,23092
3035,Eidsvoll,30,Viken,25436
3036,Nannestad,30,Viken,14139
3037,Hurdal,30,Viken,2854
3038,Hole,30,Viken,6799
3039,Flå,30,Viken,1050
3040,Nesbyen,30,Viken,3273
3041,Gol,30,Viken,4608
3042,Hemsedal,30,Viken,2486
3043,Ål,30,Viken,4674
3044,Hol,30,Viken,4441
3045,Sigdal,30,Viken,3467
3046,Krødsherad,30,Viken,2212
3047,Modum,30,Viken,14115
3048,Øvre Eiker,30,Viken,19423
3049,Lier,30,Viken,26811
3050,Flesberg,30,Viken,2688
3051,Rollag,30,Viken,1390
3052,Nore og Uvdal,30,Viken,2439
3053,Jevnaker,30,Viken,6852
3054,Lunner,30,Viken,9048
3401,Kongsvinger,34,Innlandet,17829
3403,Hamar,34,Innlandet,31369
3405,Lillehammer,34,Innlandet,28345
3407,Gjøvik,34,Innlandet,30560
3411,Ringsaker,34,Innlandet,34768
3412,Løten,34,Innlandet,7674
3413,Stange,34,Innlandet,21064
3414,Nord-Odal,34,Innlandet,5016
3415,Sør-Odal,34,Innlandet,7905
3416,Eidskog,34,Innlandet,6106
3417,Grue,34,Innlandet,4612
3418,Åsnes,34,Innlandet,7203
3419,Våler (Innlandet),34,Innlandet,3662
3420,Elverum,34,Innlandet,21254
3421,Trysil,34,Innlandet,6627
3422,Åmot,34,Innlandet,4356
3423,Stor-Elvdal,34,Innlandet,2419
3424,Rendalen,34,Innlandet,1780
3425,Engerdal,34,Innlandet,1268
3426,Tolga,34,Innlandet,1562
3427,Tynset,34,Innlandet,5578
3428,Alvdal,34,Innlandet,2432
3429,Folldal,34,Innlandet,1545
3430,Os,34,Innlandet,1891
3431,Dovre,34,Innlandet,2553
3432,Lesja,34,Innlandet,1975
3433,Skjåk,34,Innlandet,2197
3434,Lom,34,Innlandet,2228
3435,Vågå,34,Innlandet,3570
3436,Nord-Fron,34,Innlandet,5723
3437,Sel,34,Innlandet,5739
3438,Sør-Fron,34,Innlandet,3119
3439,Ringebu,34,Innlandet,4392
3440,Øyer,34,Innlandet,5100
3441,Gausdal,34,Innlandet,6106
3442,Østre Toten,34,Innlandet,14973
3443,Vestre Toten,34,Innlandet,13427
3446,Gran,34,Innlandet,13630
3447,Søndre Land,34,Innlandet,5617
3448,Nordre Land,34,Innlandet,6633
3449,Sør-Aurdal,34,Innlandet,2954
3450,Etnedal,34,Innlandet,1279
3451,Nord-Aurdal,34,Innlandet,6413
3452,Vestre Slidre,34,Innlandet,2125
3453,Øystre Slidre,34,Innlandet,3229
3454,Vang,34,Innlandet,1578
3801,Horten,38,Vestfold og Telemark,27351
3802,Holmestrand,38,Vestfold og Telemark,24699
3803,Tønsberg,38,Vestfold og Telemark,56293
3804,Sandefjord,38,Vestfold og Telemark,63764
3805,Larvik,38,Vestfold og Telemark,47204
3806,Porsgrunn,38,Vestfold og Telemark,36397
3807,Skien,38,Vestfold og Telemark,54942
3808,Notodden,38,Vestfold og Telemark,13049
3811,Færder,38,Vestfold og Telemark,26730
3812,Siljan,38,Vestfold og Telemark,2340
3813,Bamble,38,Vestfold og Telemark,14061
3814,Kragerø,38,Vestfold og Telemark,10380
3815,Drangedal,38,Vestfold og Telemark,4060
3816,Nome,38,Vestfold og Telemark,6515
3817,Midt-Telemark,38,Vestfold og Telemark,10444
3818,Tinn,38,Vestfold og Telemark,5691
3819,Hjartdal,38,Vestfold og Telemark,1573
3820,Seljord,38,Vestfold og Telemark,2888
3821,Kviteseid,38,Vestfold og Telemark,2403
3822,Nissedal,38,Vestfold og Telemark,1448
3823,Fyresdal,38,Vestfold og Telemark,1287
3824,Tokke,38,Vestfold og Telemark,2201
3825,Vinje,38,Vestfold og Telemark,3676
4201,Risør,42,Agder,6809
4202,Grimstad,42,Agder,23544
4203,Arendal,42,Agder,44999
4204,Kristiansand,42,Agder,111633
4205,Lindesnes,42,Agder,23046
4206,Farsund,42,Agder,9691
4207,Flekkefjord,42,Agder,9028
4211,Gjerstad,42,Agder,2428
4212,Vegårshei,42,Agder,2097
4213,Tvedestrand,42,Agder,6053
4214,Froland,42,Agder,5951
4215,Lillesand,42,Agder,11074
4216,Birkenes,42,Agder,5226
4217,Åmli,42,Agder,1836
4218,Iveland,42,Agder,1331
4219,Evje og Hornnes,42,Agder,3634
4220,Bygland,42,Agder,1162
4221,Valle,42,Agder,1164
4222,Bykle,42,Agder,965
4223,Vennesla,42,Agder,14774
4224,Åseral,42,Agder,932
4225,Lyngdal,42,Agder,10365
4226,Hægebostad,42,Agder,1680
4227,Kvinesdal,42,Agder,5987
4228,Sirdal,42,Agder,1822
4601,Bergen,46,Vestland,283929
4602,Kinn,46,Vestland,17207
4611,Etne,46,Vestland,4062
4612,Sveio,46,Vestland,5766
4613,Bømlo,46,Vestland,11957
4614,Stord,46,Vestland,18759
4615,Fitjar,46,Vestland,3189
4616,Tysnes,46,Vestland,2869
4617,Kvinnherad,46,Vestland,13071
4618,Ullensvang,46,Vestland,11048
4619,Eidfjord,46,Vestland,906
4620,Ulvik,46,Vestland,1080
4621,Voss,46,Vestland,15740
4622,Kvam,46,Vestland,8457
4623,Samnanger,46,Vestland,2485
4624,Bjørnafjorden,46,Vestland,24908
4625,Austevoll,46,Vestland,5236
4626,Øygarden,46,Vestland,38316
4627,Askøy,46,Vestland,29553
4628,Vaksdal,46,Vestland,3977
4629,Modalen,46,Vestland,388
4630,Osterøy,46,Vestland,8098
4631,Alver,46,Vestland,29224
4632,Austrheim,46,Vestland,2870
4633,Fedje,46,Vestland,548
4634,Masfjorden,46,Vestland,1691
4635,Gulen,46,Vestland,2297
4636,Solund,46,Vestland,802
4637,Hyllestad,46,Vestland,1328
4638,Høyanger,46,Vestland,4101
4639,Vik,46,Vestland,2635
4640,Sogndal,46,Vestland,11847
4641,Aurland,46,Vestland,1781
4642,Lærdal,46,Vestland,2126
4643,Årdal,46,Vestland,5193
4644,Luster,46,Vestland,5174
4645,Askvoll,46,Vestland,3011
4646,Fjaler,46,Vestland,2802
4647,Sunnfjord,46,Vestland,22030
4648,Bremanger,46,Vestland,3629
4649,Stad,46,Vestland,9457
4650,Gloppen,46,Vestland,5854
4651,Stryn,46,Vestland,7130
5001,Trondheim,50,Trøndelag,205163
5006,Steinkjer,50,Trøndelag,24357
5007,Namsos,50,Trøndelag,15230
5014,Frøya,50,Trøndelag,5151
5020,Osen,50,Trøndelag,948
5021,Oppdal,50,Trøndelag,7001
5022,Rennebu,50,Trøndelag,2486
5025,Røros,50,Trøndelag,5581
5026,Holtålen,50,Trøndelag,1981
5027,Midtre Gauldal,50,Trøndelag,6238
5028,Melhus,50,Trøndelag,16733
5029,Skaun,50,Trøndelag,8325
5031,Malvik,50,Trøndelag,14148
