kommune_bydel_no,kommune_bydel_name.x,bydel_no.x,bydel_name.x,kommune_no.x,kommune_name.x,fylke_no.x,fylke_name.x,kommune_bydel_name.y,bydel_no.y,bydel_name.y,kommune_no.y,kommune_name.y,fylke_no.y,fylke_name.y,population
030101,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,58671
030102,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,62423
030103,Sagene,030103,Sagene,0301,Oslo,03,Oslo,Sagene,030103,Sagene,0301,Oslo,03,Oslo,45089
030104,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,38945
030105,Frogner,030105,Frogner,0301,Oslo,03,Oslo,Frogner,030105,Frogner,0301,Oslo,03,Oslo,59269
030106,Ullern,030106,Ullern,0301,Oslo,03,Oslo,Ullern,030106,Ullern,0301,Oslo,03,Oslo,34569
030107,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,50157
030108,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,52327
030109,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,33422
030110,Grorud,030110,Grorud,0301,Oslo,03,Oslo,Grorud,030110,Grorud,0301,Oslo,03,Oslo,27707
030111,Stovner,030111,Stovner,0301,Oslo,03,Oslo,Stovner,030111,Stovner,0301,Oslo,03,Oslo,33316
030112,Alna,030112,Alna,0301,Oslo,03,Oslo,Alna,030112,Alna,0301,Oslo,03,Oslo,49801
030113,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo,50806
030114,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo,52459
030115,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo,39066
030116,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo,1471
030117,Marka,030117,Marka,0301,Oslo,03,Oslo,Marka,030117,Marka,0301,Oslo,03,Oslo,1610
1101,Eigersund,,,1101,Eigersund,11,Rogaland,Eigersund,,,1101,Eigersund,11,Rogaland,14811
110301,Hundvåg,110301,Hundvåg,1103,Stavanger,11,Rogaland,Hundvåg,110301,Hundvåg,1103,Stavanger,11,Rogaland,13178
110302,Tasta,110302,Tasta,1103,Stavanger,11,Rogaland,Tasta,110302,Tasta,1103,Stavanger,11,Rogaland,15541
110303,Eiganes og Våland,110303,Eiganes og Våland,1103,Stavanger,11,Rogaland,Eiganes og Våland,110303,Eiganes og Våland,1103,Stavanger,11,Rogaland,24512
110304,Madla,110304,Madla,1103,Stavanger,11,Rogaland,Madla,110304,Madla,1103,Stavanger,11,Rogaland,21490
110305,Storhaug,110305,Storhaug,1103,Stavanger,11,Rogaland,Storhaug,110305,Storhaug,1103,Stavanger,11,Rogaland,17423
110306,Hillevåg,110306,Hillevåg,1103,Stavanger,11,Rogaland,Hillevåg,110306,Hillevåg,1103,Stavanger,11,Rogaland,19987
110307,Hinna,110307,Hinna,1103,Stavanger,11,Rogaland,Hinna,110307,Hinna,1103,Stavanger,11,Rogaland,22870
110308,Finnøy,110308,Finnøy,1103,Stavanger,11,Rogaland,Finnøy,110308,Finnøy,1103,Stavanger,11,Rogaland,3228
110309,Rennesøy,110309,Rennesøy,1103,Stavanger,11,Rogaland,Rennesøy,110309,Rennesøy,1103,Stavanger,11,Rogaland,5090
1106,Haugesund,,,1106,Haugesund,11,Rogaland,Haugesund,,,1106,Haugesund,11,Rogaland,37357
1108,Sandnes,,,1108,Sandnes,11,Rogaland,Sandnes,,,1108,Sandnes,11,Rogaland,79537
1111,Sokndal,,,1111,Sokndal,11,Rogaland,Sokndal,,,1111,Sokndal,11,Rogaland,3280
