date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-04-03,2020-04-03T17:00:00Z,030101,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,58671,146
2020-04-03,2020-04-03T17:00:00Z,030102,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,62423,116
2020-04-03,2020-04-03T17:00:00Z,030103,Sagene,030103,Sagene,0301,Oslo,03,Oslo,45089,84
2020-04-03,2020-04-03T17:00:00Z,030104,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,38945,61
2020-04-03,2020-04-03T17:00:00Z,030105,Frogner,030105,Frogner,0301,Oslo,03,Oslo,59269,119
2020-04-03,2020-04-03T17:00:00Z,030106,Ullern,030106,Ullern,0301,Oslo,03,Oslo,34569,81
2020-04-03,2020-04-03T17:00:00Z,030107,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,50157,109
2020-04-03,2020-04-03T17:00:00Z,030108,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,52327,92
2020-04-03,2020-04-03T17:00:00Z,030109,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,33422,56
2020-04-03,2020-04-03T17:00:00Z,030110,Grorud,030110,Grorud,0301,Oslo,03,Oslo,27707,56
2020-04-03,2020-04-03T17:00:00Z,030111,Stovner,030111,Stovner,0301,Oslo,03,Oslo,33316,91
2020-04-03,2020-04-03T17:00:00Z,030112,Alna,030112,Alna,0301,Oslo,03,Oslo,49801,117
2020-04-03,2020-04-03T17:00:00Z,030113,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo,50806,122
2020-04-03,2020-04-03T17:00:00Z,030114,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo,52459,111
2020-04-03,2020-04-03T17:00:00Z,030115,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo,39066,75
2020-04-03,2020-04-03T17:00:00Z,030116,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo,1471,4
2020-04-03,2020-04-03T17:00:00Z,030117,Marka,030117,Marka,0301,Oslo,03,Oslo,1610,2
2020-04-03,2020-04-03T17:00:00Z,030199,Ukjent Bydel,030199,Ukjent,0301,Oslo,03,Oslo,2386,24
2020-04-03,2020-04-03T17:00:00Z,1101,Eigersund,NA,NA,1101,Eigersund,11,Rogaland,14811,14
2020-04-03,2020-04-03T17:00:00Z,1103,Stavanger,NA,NA,1103,Stavanger,11,Rogaland,143574,122
2020-04-03,2020-04-03T17:00:00Z,1106,Haugesund,NA,NA,1106,Haugesund,11,Rogaland,37357,49
2020-04-03,2020-04-03T17:00:00Z,1108,Sandnes,NA,NA,1108,Sandnes,11,Rogaland,79537,44
2020-04-03,2020-04-03T17:00:00Z,1111,Sokndal,NA,NA,1111,Sokndal,11,Rogaland,3280,3
2020-04-03,2020-04-03T17:00:00Z,1112,Lund,NA,NA,1112,Lund,11,Rogaland,3202,0
2020-04-03,2020-04-03T17:00:00Z,1114,Bjerkreim,NA,NA,1114,Bjerkreim,11,Rogaland,2787,0
2020-04-03,2020-04-03T17:00:00Z,1119,Hå,NA,NA,1119,Hå,11,Rogaland,18991,6
2020-04-03,2020-04-03T17:00:00Z,1120,Klepp,NA,NA,1120,Klepp,11,Rogaland,19588,6
2020-04-03,2020-04-03T17:00:00Z,1121,Time,NA,NA,1121,Time,11,Rogaland,18916,12
2020-04-03,2020-04-03T17:00:00Z,1122,Gjesdal,NA,NA,1122,Gjesdal,11,Rogaland,12002,10
2020-04-03,2020-04-03T17:00:00Z,1124,Sola,NA,NA,1124,Sola,11,Rogaland,27153,13
