date,date_time,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,0301,Oslo,03,Oslo,693494,743
2020-03-26,2020-03-26T04:00:00Z,1101,Eigersund,11,Rogaland,14811,6
2020-03-26,2020-03-26T04:00:00Z,1103,Stavanger,11,Rogaland,143574,87
2020-03-26,2020-03-26T04:00:00Z,1106,Haugesund,11,Rogaland,37357,41
2020-03-26,2020-03-26T04:00:00Z,1108,Sandnes,11,Rogaland,79537,34
2020-03-26,2020-03-26T04:00:00Z,1111,Sokndal,11,Rogaland,3280,2
2020-03-26,2020-03-26T04:00:00Z,1112,Lund,11,Rogaland,3202,0
2020-03-26,2020-03-26T04:00:00Z,1114,Bjerkreim,11,Rogaland,2787,0
2020-03-26,2020-03-26T04:00:00Z,1119,Hå,11,Rogaland,18991,4
2020-03-26,2020-03-26T04:00:00Z,1120,Klepp,11,Rogaland,19588,4
2020-03-26,2020-03-26T04:00:00Z,1121,Time,11,Rogaland,18916,9
2020-03-26,2020-03-26T04:00:00Z,1122,Gjesdal,11,Rogaland,12002,5
2020-03-26,2020-03-26T04:00:00Z,1124,Sola,11,Rogaland,27153,10
2020-03-26,2020-03-26T04:00:00Z,1127,Randaberg,11,Rogaland,11221,6
2020-03-26,2020-03-26T04:00:00Z,1130,Strand,11,Rogaland,12968,7
2020-03-26,2020-03-26T04:00:00Z,1133,Hjelmeland,11,Rogaland,2574,0
2020-03-26,2020-03-26T04:00:00Z,1134,Suldal,11,Rogaland,3804,0
2020-03-26,2020-03-26T04:00:00Z,1135,Sauda,11,Rogaland,4595,3
2020-03-26,2020-03-26T04:00:00Z,1144,Kvitsøy,11,Rogaland,517,0
2020-03-26,2020-03-26T04:00:00Z,1145,Bokn,11,Rogaland,852,0
2020-03-26,2020-03-26T04:00:00Z,1146,Tysvær,11,Rogaland,11065,13
2020-03-26,2020-03-26T04:00:00Z,1149,Karmøy,11,Rogaland,42186,28
2020-03-26,2020-03-26T04:00:00Z,1151,Utsira,11,Rogaland,198,0
2020-03-26,2020-03-26T04:00:00Z,1160,Vindafjord,11,Rogaland,8714,6
2020-03-26,2020-03-26T04:00:00Z,1505,Kristiansund,15,Møre og Romsdal,24179,8
2020-03-26,2020-03-26T04:00:00Z,1506,Molde,15,Møre og Romsdal,31967,6
2020-03-26,2020-03-26T04:00:00Z,1507,Ålesund,15,Møre og Romsdal,66258,20
2020-03-26,2020-03-26T04:00:00Z,1511,Vanylven,15,Møre og Romsdal,3117,1
2020-03-26,2020-03-26T04:00:00Z,1514,Sande,15,Møre og Romsdal,2461,1
2020-03-26,2020-03-26T04:00:00Z,1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,8900,1
2020-03-26,2020-03-26T04:00:00Z,1516,Ulstein,15,Møre og Romsdal,8571,5
2020-03-26,2020-03-26T04:00:00Z,1517,Hareid,15,Møre og Romsdal,5175,1
2020-03-26,2020-03-26T04:00:00Z,1520,Ørsta,15,Møre og Romsdal,10825,5
2020-03-26,2020-03-26T04:00:00Z,1525,Stranda,15,Møre og Romsdal,4523,0
2020-03-26,2020-03-26T04:00:00Z,1528,Sykkylven,15,Møre og Romsdal,7625,0
2020-03-26,2020-03-26T04:00:00Z,1531,Sula,15,Møre og Romsdal,9310,4
2020-03-26,2020-03-26T04:00:00Z,1532,Giske,15,Møre og Romsdal,8462,3
2020-03-26,2020-03-26T04:00:00Z,1535,Vestnes,15,Møre og Romsdal,6532,0
2020-03-26,2020-03-26T04:00:00Z,1539,Rauma,15,Møre og Romsdal,7468,7
2020-03-26,2020-03-26T04:00:00Z,1547,Aukra,15,Møre og Romsdal,3509,0
2020-03-26,2020-03-26T04:00:00Z,1554,Averøy,15,Møre og Romsdal,5788,0
2020-03-26,2020-03-26T04:00:00Z,1557,Gjemnes,15,Møre og Romsdal,2629,0
2020-03-26,2020-03-26T04:00:00Z,1560,Tingvoll,15,Møre og Romsdal,3025,1
2020-03-26,2020-03-26T04:00:00Z,1563,Sunndal,15,Møre og Romsdal,7036,2
2020-03-26,2020-03-26T04:00:00Z,1566,Surnadal,15,Møre og Romsdal,5920,0
2020-03-26,2020-03-26T04:00:00Z,1573,Smøla,15,Møre og Romsdal,2150,0
2020-03-26,2020-03-26T04:00:00Z,1576,Aure,15,Møre og Romsdal,3507,0
2020-03-26,2020-03-26T04:00:00Z,1577,Volda,15,Møre og Romsdal,10473,4
2020-03-26,2020-03-26T04:00:00Z,1578,Fjord,15,Møre og Romsdal,2549,1
2020-03-26,2020-03-26T04:00:00Z,1579,Hustadvika,15,Møre og Romsdal,13279,1
2020-03-26,2020-03-26T04:00:00Z,1804,Bodø,18,Nordland,52357,14
2020-03-26,2020-03-26T04:00:00Z,1806,Narvik,18,Nordland,21845,0
2020-03-26,2020-03-26T04:00:00Z,1811,Bindal,18,Nordland,1426,0
2020-03-26,2020-03-26T04:00:00Z,1812,Sømna,18,Nordland,1975,1
2020-03-26,2020-03-26T04:00:00Z,1813,Brønnøy,18,Nordland,7917,0
2020-03-26,2020-03-26T04:00:00Z,1815,Vega,18,Nordland,1200,1
2020-03-26,2020-03-26T04:00:00Z,1816,Vevelstad,18,Nordland,462,0
2020-03-26,2020-03-26T04:00:00Z,1818,Herøy (Nordland),18,Nordland,1777,0
2020-03-26,2020-03-26T04:00:00Z,1820,Alstahaug,18,Nordland,7447,0
2020-03-26,2020-03-26T04:00:00Z,1822,Leirfjord,18,Nordland,2294,0
2020-03-26,2020-03-26T04:00:00Z,1824,Vefsn,18,Nordland,13278,0
2020-03-26,2020-03-26T04:00:00Z,1825,Grane,18,Nordland,1482,0
2020-03-26,2020-03-26T04:00:00Z,1826,Hattfjelldal,18,Nordland,1297,0
2020-03-26,2020-03-26T04:00:00Z,1827,Dønna,18,Nordland,1371,2
2020-03-26,2020-03-26T04:00:00Z,1828,Nesna,18,Nordland,1761,0
2020-03-26,2020-03-26T04:00:00Z,1832,Hemnes,18,Nordland,4454,0
2020-03-26,2020-03-26T04:00:00Z,1833,Rana,18,Nordland,26184,2
2020-03-26,2020-03-26T04:00:00Z,1834,Lurøy,18,Nordland,1890,0
2020-03-26,2020-03-26T04:00:00Z,1835,Træna,18,Nordland,435,0
2020-03-26,2020-03-26T04:00:00Z,1836,Rødøy,18,Nordland,1213,0
2020-03-26,2020-03-26T04:00:00Z,1837,Meløy,18,Nordland,6288,1
2020-03-26,2020-03-26T04:00:00Z,1838,Gildeskål,18,Nordland,1950,0
2020-03-26,2020-03-26T04:00:00Z,1839,Beiarn,18,Nordland,1017,0
2020-03-26,2020-03-26T04:00:00Z,1840,Saltdal,18,Nordland,4671,0
2020-03-26,2020-03-26T04:00:00Z,1841,Fauske,18,Nordland,9739,0
2020-03-26,2020-03-26T04:00:00Z,1845,Sørfold,18,Nordland,1926,0
2020-03-26,2020-03-26T04:00:00Z,1848,Steigen,18,Nordland,2608,1
2020-03-26,2020-03-26T04:00:00Z,1851,Lødingen,18,Nordland,2034,0
2020-03-26,2020-03-26T04:00:00Z,1853,Evenes,18,Nordland,1348,0
2020-03-26,2020-03-26T04:00:00Z,1856,Røst,18,Nordland,498,0
2020-03-26,2020-03-26T04:00:00Z,1857,Værøy,18,Nordland,728,0
2020-03-26,2020-03-26T04:00:00Z,1859,Flakstad,18,Nordland,1272,0
2020-03-26,2020-03-26T04:00:00Z,1860,Vestvågøy,18,Nordland,11433,1
2020-03-26,2020-03-26T04:00:00Z,1865,Vågan,18,Nordland,9608,2
2020-03-26,2020-03-26T04:00:00Z,1866,Hadsel,18,Nordland,8061,3
2020-03-26,2020-03-26T04:00:00Z,1867,Bø,18,Nordland,2569,0
2020-03-26,2020-03-26T04:00:00Z,1868,Øksnes,18,Nordland,4410,0
2020-03-26,2020-03-26T04:00:00Z,1870,Sortland,18,Nordland,10566,1
2020-03-26,2020-03-26T04:00:00Z,1871,Andøy,18,Nordland,4663,0
2020-03-26,2020-03-26T04:00:00Z,1874,Moskenes,18,Nordland,1015,0
