date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,030101,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,58671,67
2020-03-26,2020-03-26T04:00:00Z,030102,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,62423,59
2020-03-26,2020-03-26T04:00:00Z,030103,Sagene,030103,Sagene,0301,Oslo,03,Oslo,45089,47
2020-03-26,2020-03-26T04:00:00Z,030104,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,38945,33
2020-03-26,2020-03-26T04:00:00Z,030105,Frogner,030105,Frogner,0301,Oslo,03,Oslo,59269,67
2020-03-26,2020-03-26T04:00:00Z,030106,Ullern,030106,Ullern,0301,Oslo,03,Oslo,34569,51
2020-03-26,2020-03-26T04:00:00Z,030107,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,50157,75
2020-03-26,2020-03-26T04:00:00Z,030108,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,52327,59
2020-03-26,2020-03-26T04:00:00Z,030109,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,33422,26
2020-03-26,2020-03-26T04:00:00Z,030110,Grorud,030110,Grorud,0301,Oslo,03,Oslo,27707,24
2020-03-26,2020-03-26T04:00:00Z,030111,Stovner,030111,Stovner,0301,Oslo,03,Oslo,33316,30
2020-03-26,2020-03-26T04:00:00Z,030112,Alna,030112,Alna,0301,Oslo,03,Oslo,49801,45
2020-03-26,2020-03-26T04:00:00Z,030113,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo,50806,63
2020-03-26,2020-03-26T04:00:00Z,030114,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo,52459,56
2020-03-26,2020-03-26T04:00:00Z,030115,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo,39066,26
2020-03-26,2020-03-26T04:00:00Z,030116,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo,1471,3
2020-03-26,2020-03-26T04:00:00Z,030117,Marka,030117,Marka,0301,Oslo,03,Oslo,1610,0
2020-03-26,2020-03-26T04:00:00Z,030199,Ukjent Bydel,030199,Ukjent,0301,Oslo,03,Oslo,2386,12
2020-03-26,2020-03-26T04:00:00Z,1101,Eigersund,,,1101,Eigersund,11,Rogaland,14811,6
2020-03-26,2020-03-26T04:00:00Z,1103,Stavanger,,,1103,Stavanger,11,Rogaland,143574,87
2020-03-26,2020-03-26T04:00:00Z,1106,Haugesund,,,1106,Haugesund,11,Rogaland,37357,41
2020-03-26,2020-03-26T04:00:00Z,1108,Sandnes,,,1108,Sandnes,11,Rogaland,79537,34
2020-03-26,2020-03-26T04:00:00Z,1111,Sokndal,,,1111,Sokndal,11,Rogaland,3280,2
2020-03-26,2020-03-26T04:00:00Z,1112,Lund,,,1112,Lund,11,Rogaland,3202,0
2020-03-26,2020-03-26T04:00:00Z,1114,Bjerkreim,,,1114,Bjerkreim,11,Rogaland,2787,0
2020-03-26,2020-03-26T04:00:00Z,1119,Hå,,,1119,Hå,11,Rogaland,18991,4
2020-03-26,2020-03-26T04:00:00Z,1120,Klepp,,,1120,Klepp,11,Rogaland,19588,4
2020-03-26,2020-03-26T04:00:00Z,1121,Time,,,1121,Time,11,Rogaland,18916,9
2020-03-26,2020-03-26T04:00:00Z,1122,Gjesdal,,,1122,Gjesdal,11,Rogaland,12002,5
2020-03-26,2020-03-26T04:00:00Z,1124,Sola,,,1124,Sola,11,Rogaland,27153,10
2020-03-26,2020-03-26T04:00:00Z,1127,Randaberg,,,1127,Randaberg,11,Rogaland,11221,6
2020-03-26,2020-03-26T04:00:00Z,1130,Strand,,,1130,Strand,11,Rogaland,12968,7
2020-03-26,2020-03-26T04:00:00Z,1133,Hjelmeland,,,1133,Hjelmeland,11,Rogaland,2574,0
2020-03-26,2020-03-26T04:00:00Z,1134,Suldal,,,1134,Suldal,11,Rogaland,3804,0
2020-03-26,2020-03-26T04:00:00Z,1135,Sauda,,,1135,Sauda,11,Rogaland,4595,3
2020-03-26,2020-03-26T04:00:00Z,1144,Kvitsøy,,,1144,Kvitsøy,11,Rogaland,517,0
2020-03-26,2020-03-26T04:00:00Z,1145,Bokn,,,1145,Bokn,11,Rogaland,852,0
2020-03-26,2020-03-26T04:00:00Z,1146,Tysvær,,,1146,Tysvær,11,Rogaland,11065,13
2020-03-26,2020-03-26T04:00:00Z,1149,Karmøy,,,1149,Karmøy,11,Rogaland,42186,28
2020-03-26,2020-03-26T04:00:00Z,1151,Utsira,,,1151,Utsira,11,Rogaland,198,0
2020-03-26,2020-03-26T04:00:00Z,1160,Vindafjord,,,1160,Vindafjord,11,Rogaland,8714,6
2020-03-26,2020-03-26T04:00:00Z,1505,Kristiansund,,,1505,Kristiansund,15,Møre og Romsdal,24179,8
2020-03-26,2020-03-26T04:00:00Z,1506,Molde,,,1506,Molde,15,Møre og Romsdal,31967,6
2020-03-26,2020-03-26T04:00:00Z,1507,Ålesund,,,1507,Ålesund,15,Møre og Romsdal,66258,20
2020-03-26,2020-03-26T04:00:00Z,1511,Vanylven,,,1511,Vanylven,15,Møre og Romsdal,3117,1
2020-03-26,2020-03-26T04:00:00Z,1514,Sande,,,1514,Sande,15,Møre og Romsdal,2461,1
2020-03-26,2020-03-26T04:00:00Z,1515,Herøy (Møre og Romsdal),,,1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,8900,1
2020-03-26,2020-03-26T04:00:00Z,1516,Ulstein,,,1516,Ulstein,15,Møre og Romsdal,8571,5
2020-03-26,2020-03-26T04:00:00Z,1517,Hareid,,,1517,Hareid,15,Møre og Romsdal,5175,1
2020-03-26,2020-03-26T04:00:00Z,1520,Ørsta,,,1520,Ørsta,15,Møre og Romsdal,10825,5
2020-03-26,2020-03-26T04:00:00Z,1525,Stranda,,,1525,Stranda,15,Møre og Romsdal,4523,0
2020-03-26,2020-03-26T04:00:00Z,1528,Sykkylven,,,1528,Sykkylven,15,Møre og Romsdal,7625,0
2020-03-26,2020-03-26T04:00:00Z,1531,Sula,,,1531,Sula,15,Møre og Romsdal,9310,4
2020-03-26,2020-03-26T04:00:00Z,1532,Giske,,,1532,Giske,15,Møre og Romsdal,8462,3
2020-03-26,2020-03-26T04:00:00Z,1535,Vestnes,,,1535,Vestnes,15,Møre og Romsdal,6532,0
2020-03-26,2020-03-26T04:00:00Z,1539,Rauma,,,1539,Rauma,15,Møre og Romsdal,7468,7
2020-03-26,2020-03-26T04:00:00Z,1547,Aukra,,,1547,Aukra,15,Møre og Romsdal,3509,0
2020-03-26,2020-03-26T04:00:00Z,1554,Averøy,,,1554,Averøy,15,Møre og Romsdal,5788,0
2020-03-26,2020-03-26T04:00:00Z,1557,Gjemnes,,,1557,Gjemnes,15,Møre og Romsdal,2629,0
2020-03-26,2020-03-26T04:00:00Z,1560,Tingvoll,,,1560,Tingvoll,15,Møre og Romsdal,3025,1
2020-03-26,2020-03-26T04:00:00Z,1563,Sunndal,,,1563,Sunndal,15,Møre og Romsdal,7036,2
2020-03-26,2020-03-26T04:00:00Z,1566,Surnadal,,,1566,Surnadal,15,Møre og Romsdal,5920,0
2020-03-26,2020-03-26T04:00:00Z,1573,Smøla,,,1573,Smøla,15,Møre og Romsdal,2150,0
