time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03
04:00:00,030101,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,58671,67,92,105,114,120,124,127,137,143,149,155,163,169,175,183,186,187,190,194,199,202,210,213,214,214,214,215,222,230,233,236,238,239,240,240,240,240,240,240
04:00:00,030102,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,62423,59,71,84,96,96,101,107,110,114,120,120,125,125,126,130,133,137,138,140,141,143,148,148,149,154,157,159,163,163,164,164,165,166,168,171,172,173,173,174
04:00:00,030103,Sagene,030103,Sagene,0301,Oslo,03,Oslo,45089,47,59,60,65,66,70,76,80,84,87,94,98,102,104,109,113,115,116,117,117,119,120,123,126,127,129,130,132,133,133,134,135,135,135,135,135,136,139,140
04:00:00,030104,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,38945,33,42,46,47,50,52,52,57,58,62,65,65,67,70,71,71,72,75,75,78,80,82,84,85,86,87,87,89,93,95,97,97,97,97,98,99,100,100,100
04:00:00,030105,Frogner,030105,Frogner,0301,Oslo,03,Oslo,59269,67,77,86,100,102,107,109,114,118,121,125,129,136,138,138,140,143,145,146,146,148,149,152,153,154,156,158,160,161,163,164,166,169,170,170,170,172,172,173
04:00:00,030106,Ullern,030106,Ullern,0301,Oslo,03,Oslo,34569,51,61,64,69,73,75,76,78,81,83,84,84,84,87,90,96,101,102,103,104,104,105,105,105,107,107,108,108,108,108,108,108,108,109,109,110,110,110,110
04:00:00,030107,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,50157,75,82,87,93,95,98,101,107,109,113,118,119,122,126,127,132,132,132,132,132,135,137,139,139,142,143,144,145,146,146,147,147,147,148,148,148,148,148,149
04:00:00,030108,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,52327,59,67,68,75,78,82,83,89,91,94,95,97,102,108,108,110,111,114,115,117,117,118,119,122,123,125,125,127,129,130,130,130,130,133,133,133,133,133,133
04:00:00,030109,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,33422,26,34,35,38,39,41,46,50,56,57,62,64,66,69,74,75,76,77,78,78,81,85,85,87,92,92,93,98,100,102,104,105,106,108,107,107,107,107,109
04:00:00,030110,Grorud,030110,Grorud,0301,Oslo,03,Oslo,27707,24,25,29,32,37,43,44,51,54,65,66,70,73,75,77,77,78,78,79,80,80,83,84,84,86,87,91,92,97,97,99,100,105,108,112,114,116,116,116
