week,date_from,date_to,kommune_bydel_no,kommune_bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,unemployment_benefits_applications,workforce,share
2020-11,2020-03-09,2020-03-15,030112,Alna,0301,Oslo,03,Oslo,220,24835,0.00885846587477351
2020-12,2020-03-16,2020-03-22,030112,Alna,0301,Oslo,03,Oslo,1953,24835,0.078639017515603
2020-13,2020-03-23,2020-03-29,030112,Alna,0301,Oslo,03,Oslo,759,24835,0.0305617072679686
2020-14,2020-03-30,2020-04-05,030112,Alna,0301,Oslo,03,Oslo,422,24835,0.0169921481779746
2020-15,2020-04-06,2020-04-12,030112,Alna,0301,Oslo,03,Oslo,194,24835,0.00781155627139118
2020-16,2020-04-13,2020-04-19,030112,Alna,0301,Oslo,03,Oslo,158,24835,0.00636198912824643
2020-17,2020-04-20,2020-04-26,030112,Alna,0301,Oslo,03,Oslo,99,24835,0.00398630964364808
2020-18,2020-04-27,2020-05-03,030112,Alna,0301,Oslo,03,Oslo,99,24835,0.00398630964364808
2020-19,2020-05-04,2020-05-10,030112,Alna,0301,Oslo,03,Oslo,64,24835,0.0025770082544795702
2020-20,2020-05-11,2020-05-17,030112,Alna,0301,Oslo,03,Oslo,42,24835,0.00169116166700221
2020-21,2020-05-18,2020-05-24,030112,Alna,0301,Oslo,03,Oslo,45,24835,0.0018119589289309402
2020-22,2020-05-25,2020-05-31,030112,Alna,0301,Oslo,03,Oslo,33,24835,0.00132876988121603
2020-11,2020-03-09,2020-03-15,030109,Bjerke,0301,Oslo,03,Oslo,146,18141,0.00804806791246348
2020-12,2020-03-16,2020-03-22,030109,Bjerke,0301,Oslo,03,Oslo,1371,18141,0.0755746651232016
2020-13,2020-03-23,2020-03-29,030109,Bjerke,0301,Oslo,03,Oslo,457,18141,0.0251915550410672
2020-14,2020-03-30,2020-04-05,030109,Bjerke,0301,Oslo,03,Oslo,313,18141,0.017253734634253903
2020-15,2020-04-06,2020-04-12,030109,Bjerke,0301,Oslo,03,Oslo,127,18141,0.00700071660878673
2020-16,2020-04-13,2020-04-19,030109,Bjerke,0301,Oslo,03,Oslo,95,18141,0.00523675651838377
2020-17,2020-04-20,2020-04-26,030109,Bjerke,0301,Oslo,03,Oslo,80,18141,0.00440990022600739
2020-18,2020-04-27,2020-05-03,030109,Bjerke,0301,Oslo,03,Oslo,68,18141,0.0037484151921062803
2020-19,2020-05-04,2020-05-10,030109,Bjerke,0301,Oslo,03,Oslo,48,18141,0.00264594013560443
2020-20,2020-05-11,2020-05-17,030109,Bjerke,0301,Oslo,03,Oslo,36,18141,0.00198445510170332
2020-21,2020-05-18,2020-05-24,030109,Bjerke,0301,Oslo,03,Oslo,23,18141,0.00126784631497712
2020-22,2020-05-25,2020-05-31,030109,Bjerke,0301,Oslo,03,Oslo,22,18141,0.00121272256215203
2020-11,2020-03-09,2020-03-15,030105,Frogner,0301,Oslo,03,Oslo,546,37248,0.014658505154639201
2020-12,2020-03-16,2020-03-22,030105,Frogner,0301,Oslo,03,Oslo,3502,37248,0.094018470790378
2020-13,2020-03-23,2020-03-29,030105,Frogner,0301,Oslo,03,Oslo,1180,37248,0.0316795532646048
2020-14,2020-03-30,2020-04-05,030105,Frogner,0301,Oslo,03,Oslo,642,37248,0.017235824742268
2020-15,2020-04-06,2020-04-12,030105,Frogner,0301,Oslo,03,Oslo,249,37248,0.00668492268041237
2020-16,2020-04-13,2020-04-19,030105,Frogner,0301,Oslo,03,Oslo,215,37248,0.00577212199312715
2020-17,2020-04-20,2020-04-26,030105,Frogner,0301,Oslo,03,Oslo,156,37248,0.00418814432989691
2020-18,2020-04-27,2020-05-03,030105,Frogner,0301,Oslo,03,Oslo,160,37248,0.00429553264604811
2020-19,2020-05-04,2020-05-10,030105,Frogner,0301,Oslo,03,Oslo,100,37248,0.0026847079037800696
2020-20,2020-05-11,2020-05-17,030105,Frogner,0301,Oslo,03,Oslo,86,37248,0.00230884879725086
2020-21,2020-05-18,2020-05-24,030105,Frogner,0301,Oslo,03,Oslo,58,37248,0.00155713058419244
2020-22,2020-05-25,2020-05-31,030105,Frogner,0301,Oslo,03,Oslo,34,37248,9.12800687285223e-4
2020-11,2020-03-09,2020-03-15,030101,Gamle Oslo,0301,Oslo,03,Oslo,491,37226,0.013189706119378898
2020-12,2020-03-16,2020-03-22,030101,Gamle Oslo,0301,Oslo,03,Oslo,3144,37226,0.0844570998764305
2020-13,2020-03-23,2020-03-29,030101,Gamle Oslo,0301,Oslo,03,Oslo,1177,37226,0.0316176865631548
2020-14,2020-03-30,2020-04-05,030101,Gamle Oslo,0301,Oslo,03,Oslo,675,37226,0.0181324880459894
2020-15,2020-04-06,2020-04-12,030101,Gamle Oslo,0301,Oslo,03,Oslo,299,37226,0.00803202063074196
2020-16,2020-04-13,2020-04-19,030101,Gamle Oslo,0301,Oslo,03,Oslo,272,37226,0.00730672110890238
2020-17,2020-04-20,2020-04-26,030101,Gamle Oslo,0301,Oslo,03,Oslo,173,37226,0.00464728952882394
2020-18,2020-04-27,2020-05-03,030101,Gamle Oslo,0301,Oslo,03,Oslo,139,37226,0.0037339493902111397
2020-19,2020-05-04,2020-05-10,030101,Gamle Oslo,0301,Oslo,03,Oslo,102,37226,0.00274002041583839
2020-20,2020-05-11,2020-05-17,030101,Gamle Oslo,0301,Oslo,03,Oslo,84,37226,0.00225648740127868
2020-21,2020-05-18,2020-05-24,030101,Gamle Oslo,0301,Oslo,03,Oslo,58,37226,0.0015580508246924199
2020-22,2020-05-25,2020-05-31,030101,Gamle Oslo,0301,Oslo,03,Oslo,51,37226,0.0013700102079192
2020-11,2020-03-09,2020-03-15,030110,Grorud,0301,Oslo,03,Oslo,113,13935,0.00810907786149982
