kommune_no,kommune_name,week,share,amount,total
0301,Oslo,11,0.0102291458068695,3976,388693
0301,Oslo,12,0.0765282120651761,29746,388693
0301,Oslo,13,0.028907113251002498,11236,388693
0301,Oslo,14,0.0127272596344526,4947,388693
0301,Oslo,I alt,0.128391730757501,49905,388693
1101,Eigersund,11,0.00668232164293918,51,7632
1101,Eigersund,12,0.056734221007699294,433,7632
1101,Eigersund,13,0.019915939014250098,152,7632
1101,Eigersund,14,0.00746847713034379,57,7632
1101,Eigersund,I alt,0.0908009587952324,693,7632
1103,Stavanger,11,0.007511299022568581,572,76152
1103,Stavanger,12,0.0661966055467976,5041,76152
1103,Stavanger,13,0.022021763043439703,1677,76152
1103,Stavanger,14,0.00953357183633704,726,76152
1103,Stavanger,I alt,0.105263239449143,8016,76152
1106,Haugesund,11,0.0074281415610545996,143,19251
1106,Haugesund,12,0.0715802732247079,1378,19251
1106,Haugesund,13,0.0238947211054903,460,19251
1106,Haugesund,14,0.010856514589233599,209,19251
1106,Haugesund,I alt,0.113759650480486,2190,19251
1108,Sandnes,11,0.0066852982543056305,283,42332
1108,Sandnes,12,0.0686483276572868,2906,42332
1108,Sandnes,13,0.0243788968142877,1032,42332
1108,Sandnes,14,0.010016135900443802,424,42332
1108,Sandnes,I alt,0.109728658626324,4645,42332
1111,Sokndal,11,0.00677113085271929,11,1625
1111,Sokndal,12,0.0332400969133492,54,1625
1111,Sokndal,13,0.010464474954202501,17,1625
1111,Sokndal,14,0.00677113085271929,11,1625
1111,Sokndal,I alt,0.0572468335729903,93,1625
1112,Lund,11,0.00688473760074405,11,1598
1112,Lund,12,0.0344236880037203,55,1598
1112,Lund,13,0.0100141637829004,16,1598
1112,Lund,14,0.00312942618215639,5,1598
1112,Lund,I alt,0.0544520155695211,87,1598
1114,Bjerkreim,11,,,1555
1114,Bjerkreim,12,0.045027978456042096,70,1555
1114,Bjerkreim,13,0.0141516503718989,22,1555
1114,Bjerkreim,14,0.005789311515776841,9,1555
1114,Bjerkreim,I alt,0.0668987108489768,104,1555
1119,Hå,11,0.00389130306411904,40,10279
1119,Hå,12,0.0501005269505327,515,10279
1119,Hå,13,0.0150787993734613,155,10279
1119,Hå,14,0.00622608490259047,64,10279
1119,Hå,I alt,0.0752967142907035,774,10279
