geo_type,region,transportation_type,alternative_name,sub-region,country,date,val
country/region,Norway,driving,Norge,NA,NA,2020-01-13,100
country/region,Norway,transit,Norge,NA,NA,2020-01-13,100
country/region,Norway,walking,Norge,NA,NA,2020-01-13,100
city,Oslo,driving,NA,NA,Norway,2020-01-13,100
city,Oslo,transit,NA,NA,Norway,2020-01-13,100
city,Oslo,walking,NA,NA,Norway,2020-01-13,100
sub-region,Agder,driving,NA,NA,Norway,2020-01-13,100
sub-region,Agder,walking,NA,NA,Norway,2020-01-13,100
sub-region,Innlandet,driving,NA,NA,Norway,2020-01-13,100
sub-region,Innlandet,walking,NA,NA,Norway,2020-01-13,100
sub-region,Møre og Romsdal,driving,NA,NA,Norway,2020-01-13,100
sub-region,Nordland,driving,NA,NA,Norway,2020-01-13,100
sub-region,Rogaland,driving,NA,NA,Norway,2020-01-13,100
sub-region,Rogaland,walking,NA,NA,Norway,2020-01-13,100
sub-region,Troms og Finnmark,driving,NA,NA,Norway,2020-01-13,100
sub-region,Troms og Finnmark,walking,NA,NA,Norway,2020-01-13,100
sub-region,Trøndelag,driving,NA,NA,Norway,2020-01-13,100
sub-region,Trøndelag,walking,NA,NA,Norway,2020-01-13,100
sub-region,Vestfold og Telemark,driving,NA,NA,Norway,2020-01-13,100
sub-region,Vestfold og Telemark,walking,NA,NA,Norway,2020-01-13,100
sub-region,Vestland,driving,NA,NA,Norway,2020-01-13,100
sub-region,Vestland,walking,NA,NA,Norway,2020-01-13,100
sub-region,Vestland,transit,NA,NA,Norway,2020-01-13,100
sub-region,Viken,driving,NA,NA,Norway,2020-01-13,100
sub-region,Viken,walking,NA,NA,Norway,2020-01-13,100
sub-region,Viken,transit,NA,NA,Norway,2020-01-13,100
country/region,Norway,driving,Norge,NA,NA,2020-01-14,98.43
country/region,Norway,transit,Norge,NA,NA,2020-01-14,103.33
country/region,Norway,walking,Norge,NA,NA,2020-01-14,101.67
city,Oslo,driving,NA,NA,Norway,2020-01-14,99.79
city,Oslo,transit,NA,NA,Norway,2020-01-14,107.1
city,Oslo,walking,NA,NA,Norway,2020-01-14,104.07
sub-region,Agder,driving,NA,NA,Norway,2020-01-14,98.62
sub-region,Agder,walking,NA,NA,Norway,2020-01-14,93.29
sub-region,Innlandet,driving,NA,NA,Norway,2020-01-14,102.58
sub-region,Innlandet,walking,NA,NA,Norway,2020-01-14,80.69
sub-region,Møre og Romsdal,driving,NA,NA,Norway,2020-01-14,117.89
sub-region,Nordland,driving,NA,NA,Norway,2020-01-14,94.17
sub-region,Rogaland,driving,NA,NA,Norway,2020-01-14,93.35
sub-region,Rogaland,walking,NA,NA,Norway,2020-01-14,104.63
sub-region,Troms og Finnmark,driving,NA,NA,Norway,2020-01-14,96.79
sub-region,Troms og Finnmark,walking,NA,NA,Norway,2020-01-14,98.86
sub-region,Trøndelag,driving,NA,NA,Norway,2020-01-14,101.05
sub-region,Trøndelag,walking,NA,NA,Norway,2020-01-14,111.8
sub-region,Vestfold og Telemark,driving,NA,NA,Norway,2020-01-14,94.06
sub-region,Vestfold og Telemark,walking,NA,NA,Norway,2020-01-14,88.5
sub-region,Vestland,driving,NA,NA,Norway,2020-01-14,95.9
sub-region,Vestland,walking,NA,NA,Norway,2020-01-14,99.46
sub-region,Vestland,transit,NA,NA,Norway,2020-01-14,95.46
sub-region,Viken,driving,NA,NA,Norway,2020-01-14,97.72
sub-region,Viken,walking,NA,NA,Norway,2020-01-14,105.15
sub-region,Viken,transit,NA,NA,Norway,2020-01-14,111.88
country/region,Norway,driving,Norge,NA,NA,2020-01-15,102.34
country/region,Norway,transit,Norge,NA,NA,2020-01-15,102.63
country/region,Norway,walking,Norge,NA,NA,2020-01-15,106.64
city,Oslo,driving,NA,NA,Norway,2020-01-15,105.32
city,Oslo,transit,NA,NA,Norway,2020-01-15,106.79
city,Oslo,walking,NA,NA,Norway,2020-01-15,110.41
sub-region,Agder,driving,NA,NA,Norway,2020-01-15,95.91
sub-region,Agder,walking,NA,NA,Norway,2020-01-15,103.28
sub-region,Innlandet,driving,NA,NA,Norway,2020-01-15,104.84
sub-region,Innlandet,walking,NA,NA,Norway,2020-01-15,92.91
sub-region,Møre og Romsdal,driving,NA,NA,Norway,2020-01-15,108.51
sub-region,Nordland,driving,NA,NA,Norway,2020-01-15,92.52
sub-region,Rogaland,driving,NA,NA,Norway,2020-01-15,95.71
sub-region,Rogaland,walking,NA,NA,Norway,2020-01-15,109.46
sub-region,Troms og Finnmark,driving,NA,NA,Norway,2020-01-15,99.63
sub-region,Troms og Finnmark,walking,NA,NA,Norway,2020-01-15,87.24
sub-region,Trøndelag,driving,NA,NA,Norway,2020-01-15,91.61
sub-region,Trøndelag,walking,NA,NA,Norway,2020-01-15,103.46
sub-region,Vestfold og Telemark,driving,NA,NA,Norway,2020-01-15,98.58
sub-region,Vestfold og Telemark,walking,NA,NA,Norway,2020-01-15,95.32
sub-region,Vestland,driving,NA,NA,Norway,2020-01-15,96.18
sub-region,Vestland,walking,NA,NA,Norway,2020-01-15,103.4
sub-region,Vestland,transit,NA,NA,Norway,2020-01-15,98.15
sub-region,Viken,driving,NA,NA,Norway,2020-01-15,108.5
sub-region,Viken,walking,NA,NA,Norway,2020-01-15,113.55
sub-region,Viken,transit,NA,NA,Norway,2020-01-15,111.68
country/region,Norway,driving,Norge,NA,NA,2020-01-16,105.02
country/region,Norway,transit,Norge,NA,NA,2020-01-16,106.54
country/region,Norway,walking,Norge,NA,NA,2020-01-16,112.36
