fylke_no,fylke_name,date,category,mob_change
42,Agder,2020-02-15,Retail & recreation,-7.0
42,Agder,2020-02-16,Retail & recreation,-16.0
42,Agder,2020-02-17,Retail & recreation,-1.0
42,Agder,2020-02-18,Retail & recreation,-1.0
42,Agder,2020-02-19,Retail & recreation,3.0
42,Agder,2020-02-20,Retail & recreation,-5.0
42,Agder,2020-02-21,Retail & recreation,-2.0
42,Agder,2020-02-22,Retail & recreation,-9.0
42,Agder,2020-02-23,Retail & recreation,-6.0
42,Agder,2020-02-24,Retail & recreation,4.0
42,Agder,2020-02-25,Retail & recreation,-9.0
42,Agder,2020-02-26,Retail & recreation,1.0
42,Agder,2020-02-27,Retail & recreation,-2.0
42,Agder,2020-02-28,Retail & recreation,4.0
42,Agder,2020-02-29,Retail & recreation,-8.0
42,Agder,2020-03-01,Retail & recreation,-11.0
42,Agder,2020-03-02,Retail & recreation,-1.0
42,Agder,2020-03-03,Retail & recreation,-5.0
42,Agder,2020-03-04,Retail & recreation,-1.0
42,Agder,2020-03-05,Retail & recreation,3.0
42,Agder,2020-03-06,Retail & recreation,1.0
42,Agder,2020-03-07,Retail & recreation,-7.0
42,Agder,2020-03-08,Retail & recreation,-17.0
42,Agder,2020-03-09,Retail & recreation,-5.0
42,Agder,2020-03-10,Retail & recreation,-9.0
42,Agder,2020-03-11,Retail & recreation,-8.0
42,Agder,2020-03-12,Retail & recreation,-5.0
42,Agder,2020-03-13,Retail & recreation,-31.0
42,Agder,2020-03-14,Retail & recreation,-48.0
42,Agder,2020-03-15,Retail & recreation,-72.0
42,Agder,2020-03-16,Retail & recreation,-37.0
42,Agder,2020-03-17,Retail & recreation,-43.0
42,Agder,2020-03-18,Retail & recreation,-44.0
42,Agder,2020-03-19,Retail & recreation,-41.0
42,Agder,2020-03-20,Retail & recreation,-41.0
42,Agder,2020-03-21,Retail & recreation,-49.0
42,Agder,2020-03-22,Retail & recreation,-60.0
42,Agder,2020-03-23,Retail & recreation,-36.0
42,Agder,2020-03-24,Retail & recreation,-40.0
42,Agder,2020-03-25,Retail & recreation,-39.0
42,Agder,2020-03-26,Retail & recreation,-38.0
42,Agder,2020-03-27,Retail & recreation,-38.0
42,Agder,2020-03-28,Retail & recreation,-46.0
42,Agder,2020-03-29,Retail & recreation,-59.0
42,Agder,2020-03-30,Retail & recreation,-32.0
42,Agder,2020-03-31,Retail & recreation,-31.0
42,Agder,2020-04-01,Retail & recreation,-35.0
42,Agder,2020-04-02,Retail & recreation,-35.0
42,Agder,2020-04-03,Retail & recreation,-32.0
42,Agder,2020-04-04,Retail & recreation,-39.0
42,Agder,2020-04-05,Retail & recreation,-52.0
42,Agder,2020-04-06,Retail & recreation,-12.0
42,Agder,2020-04-07,Retail & recreation,-10.0
42,Agder,2020-04-08,Retail & recreation,-6.0
42,Agder,2020-04-09,Retail & recreation,-77.0
42,Agder,2020-04-10,Retail & recreation,-80.0
42,Agder,2020-04-11,Retail & recreation,-39.0
42,Agder,2020-04-12,Retail & recreation,-55.0
42,Agder,2020-04-13,Retail & recreation,-75.0
42,Agder,2020-04-14,Retail & recreation,-19.0
42,Agder,2020-04-15,Retail & recreation,-24.0
42,Agder,2020-04-16,Retail & recreation,-23.0
42,Agder,2020-04-17,Retail & recreation,-20.0
42,Agder,2020-04-18,Retail & recreation,-28.0
42,Agder,2020-04-19,Retail & recreation,-39.0
42,Agder,2020-04-20,Retail & recreation,-11.0
42,Agder,2020-04-21,Retail & recreation,-15.0
42,Agder,2020-04-22,Retail & recreation,-19.0
42,Agder,2020-04-23,Retail & recreation,-16.0
42,Agder,2020-04-24,Retail & recreation,-17.0
42,Agder,2020-04-25,Retail & recreation,-23.0
42,Agder,2020-04-26,Retail & recreation,-38.0
42,Agder,2020-04-27,Retail & recreation,-9.0
42,Agder,2020-04-28,Retail & recreation,-13.0
42,Agder,2020-04-29,Retail & recreation,-14.0
42,Agder,2020-04-30,Retail & recreation,-7.0
42,Agder,2020-05-01,Retail & recreation,-69.0
42,Agder,2020-05-02,Retail & recreation,-2.0
42,Agder,2020-05-03,Retail & recreation,-29.0
42,Agder,2020-05-04,Retail & recreation,-6.0
42,Agder,2020-05-05,Retail & recreation,-9.0
42,Agder,2020-05-06,Retail & recreation,-11.0
42,Agder,2020-05-07,Retail & recreation,-9.0
42,Agder,2020-05-08,Retail & recreation,-7.0
42,Agder,2020-05-09,Retail & recreation,-11.0
42,Agder,2020-05-10,Retail & recreation,-31.0
42,Agder,2020-05-11,Retail & recreation,-3.0
42,Agder,2020-05-12,Retail & recreation,-3.0
42,Agder,2020-05-13,Retail & recreation,-4.0
42,Agder,2020-05-14,Retail & recreation,3.0
42,Agder,2020-05-15,Retail & recreation,2.0
42,Agder,2020-05-16,Retail & recreation,-6.0
42,Agder,2020-05-17,Retail & recreation,-13.0
42,Agder,2020-05-18,Retail & recreation,-8.0
42,Agder,2020-05-19,Retail & recreation,-3.0
42,Agder,2020-05-20,Retail & recreation,16.0
42,Agder,2020-05-21,Retail & recreation,-53.0
42,Agder,2020-05-22,Retail & recreation,23.0
42,Agder,2020-05-23,Retail & recreation,2.0
42,Agder,2020-05-24,Retail & recreation,-17.0
42,Agder,2020-05-25,Retail & recreation,7.0
42,Agder,2020-05-26,Retail & recreation,3.0
42,Agder,2020-05-27,Retail & recreation,2.0
42,Agder,2020-05-28,Retail & recreation,7.0
42,Agder,2020-05-29,Retail & recreation,12.0
42,Agder,2020-05-30,Retail & recreation,4.0
42,Agder,2020-05-31,Retail & recreation,8.0
42,Agder,2020-06-01,Retail & recreation,-50.0
42,Agder,2020-06-02,Retail & recreation,15.0
42,Agder,2020-06-03,Retail & recreation,7.0
42,Agder,2020-06-04,Retail & recreation,7.0
42,Agder,2020-06-05,Retail & recreation,5.0
