organisation_number,company_name,Kommune,Fylke,n_employees
811545112,GAUSDAL LANDHANDLERI AS AVD JESSHEIM,Ullensaker,Viken,6
811553212,HULDRA FILM AS,Skien,Vestfold og Telemark,1
811557242,LENTUS BYGG AS,Oslo,Oslo,3
811562432,STRATEMA AS AVD OSLO,Oslo,Oslo,6
811562912,ATEA AS AVD TROMSØ,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,3
811575062,NYBRÅTEN MASKIN AS,Sør-Aurdal,Innlandet,3
811579572,SMART GLASS AS,Vennesla,Agder,1
811589632,AIERKEN UG,Bergen,Vestland,2
811601772,LESS TRASH AS,Bærum,Viken,1
811602272,TOFTE ELEKTRISKE AS,Asker,Viken,2
811602582,KOKSTAD AUTOSENTER AS,Bergen,Vestland,8
811607592,PRESSWORKS AS,Oslo,Oslo,2
811609102,OSLO MONTASJE AS,Lillestrøm,Viken,1
811613592,ALL DIGITAL AS,Frogn,Viken,2
811614742,DELICATESSEN AKER BRYGGE AS,Oslo,Oslo,21
811615692,CHI SALONGEN AS,Trondheim,Trøndelag - Trööndelage,1
811616052,FREDRIKSTAD STADION EVENT AS,Fredrikstad,Viken,2
811621102,EN KLIPP AS,Oslo,Oslo,1
811624802,VICAN GROUP AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,4
811637122,LAGRE MINILAGER AS,Oslo,Oslo,1
811644552,EIRIK OG PEDRO AS,Oslo,Oslo,4
811645362,VIENDO AS,Bergen,Vestland,1
811646202,M2 TOMTEUTVIKLING AS,Stavanger,Rogaland,1
811646792,SUNNMILJØ AS,Askvoll,Vestland,1
811646822,RECMAN AS,Oslo,Oslo,1
811649082,HOT BIKRAMYOGA AS,Bærum,Viken,2
811653772,NITTEDAL RENHOLD OG FLYTTEBYRÅ AS,Nittedal,Viken,1
811657212,MIRA MARE AS,Arendal,Agder,2
811659932,RESE - COM AS,Bærum,Viken,3
811662402,SIKKERT BYGG AS,Nesodden,Viken,2
811667382,SHANGRILA RESTAURANT AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,2
811672122,ITALMARIN AS,Drammen,Viken,1
811676772,NORSK GJENVINNING M3 AS,Bærum,Viken,2
811684872,MANOV GLOBAL AS,Oslo,Oslo,2
811693162,B. YOUNG VESTBY,Vestby,Viken,3
811699772,UNO CAFÉ & BAR AS,Alta,Troms og Finnmark - Romsa ja Finnmárku,25
811700282,OSLO ESS AS,Oslo,Oslo,3
811709522,TRANSPORTPORTALEN AS,Lørenskog,Viken,2
811710032,KLINIKK 54 FYSIOTERAPI OG AKUPUNKTUR AS,Stad,Vestland,1
811712612,WENDU KARICHA,Trondheim,Trøndelag - Trööndelage,1
811716502,SUPERBLAISE AS,Oslo,Oslo,14
811717622,MOA STORSENTER BILPLEIE,Ålesund,Møre og Romsdal,6
811719692,LEKEDILLA AS,Bodø,Nordland,1
811720712,DIGIPOINT SOLUTION AS,Asker,Viken,1
811721832,PAGEBOY AS,Kristiansand,Agder,1
811745472,DIVINE DESIGN OSLO AS,Oslo,Oslo,5
811748722,PORTNOR BYGG AS,Oslo,Oslo,3
811750212,CHANGE OF SCANDINAVIA SKØYEN,Oslo,Oslo,3
811750662,CHANGE OF SCANDINAVIA BUSKERUD,Drammen,Viken,5
811751472,ABCHUS PROSJEKT MANAGEMENT AS,Ås,Viken,2
811766062,CECILIE'S HÅRSTUDIO AS,Skjervøy,Troms og Finnmark - Romsa ja Finnmárku,1
811766992,BÆRUM GOLFSENTER AS,Bærum,Viken,2
811776122,ELSUPPORT AS,Vestnes,Møre og Romsdal,1
811778052,RENT A CAR VESTFOLD AS,Sandefjord,Vestfold og Telemark,9
811787132,TECHWEB AS,Sarpsborg,Viken,1
811791342,BILAL AL BANNA TAXI,Stord,Vestland,1
811792462,IBB INTERNATIONAL AS,Tysvær,Rogaland,1
811796212,AMEDI BILPLEIE DLMAN G AHMED,Tønsberg,Vestfold og Telemark,1
811796492,BØSTAD FYSIOTERAPI,Vestvågøy,Nordland,1
811796662,TOGET AS,Lier,Viken,3
811801232,CAFE OPUS MAXI HAMAR AVD 1389,Hamar,Innlandet,9
811801542,HVALER TAXI - CATHRINES TUT OG KJØR CATHRINE NILSEN,Hvaler,Viken,1
811804452,ARMA BYGG AS,Bærum,Viken,1
811805262,MOIRÉ AS,Oslo,Oslo,1
811811912,ROKEA GRUPPEN AS,Oslo,Oslo,6
811813052,VRTKL,Oslo,Oslo,1
811820792,MYK OG RAR AS,Horten,Vestfold og Telemark,1
811825492,FOTOGRAF KAROLINE O.A.PETTERSEN AS,Steigen,Nordland,1
811830062,BETTINAS SALONG BETTINA SEEL,Sandefjord,Vestfold og Telemark,1
811833312,WELL PACKED AS,Time,Rogaland,1
811833932,SAFE SOLUTIONS AS,Stjørdal,Trøndelag - Trööndelage,1
811849782,AREAL ASFALT AS,Moss,Viken,3
811850942,STRAUME VÅTROM AS,Øygarden,Vestland,1
811852252,GULLFJELL CONSULTING AS,Bergen,Vestland,1
811859222,HESTHEST REKLAMEBYRÅ AS,Oslo,Oslo,1
811860972,TANNLEGE HANNE MJØSUND AS,Trondheim,Trøndelag - Trööndelage,2
811870102,SCENE43 AS,Stavanger,Rogaland,2
811871532,HEIMLUND BYGG AS,Stavanger,Rogaland,5
811871982,NORMEDICAL AS,Ringerike,Viken,2
811878022,BJØRN EINAR NILSEN,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,3
811883182,JR HOLDING KONGSBERG AS,Kongsberg,Viken,2
811893242,ARCTIC EDGE AS,Svalbard, ,1
811894672,LILLE MY BARNEBUTIKK AS,Indre Fosen,Trøndelag - Trööndelage,1
811899062,ME INNOVATION AS,Lørenskog,Viken,3
811904872,SMART SYSTEMS AS,Eidsvoll,Viken,2
811906212,FRISØREN BENTE WIK,Kinn,Vestland,1
811907782,BJØRNØYGATA 26 AS,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,1
811909122,TRAFIKKSKOLEN I SURNADAL AS AVD SURNADAL,Surnadal,Møre og Romsdal,5
811914592,SKREIA TRIM AS,Østre Toten,Innlandet,12
811932442,ELKJØP STORMARKED NITTEDAL AS,Nittedal,Viken,7
811949612,BPG CONSULTING AS,Askøy,Vestland,4
811962732,ØYA DYREKLINIKK AS,Nord-Fron,Innlandet,1
811969192,MIDT-TELEMARK RØR AS AVD NORDAGUTU,Midt-Telemark,Vestfold og Telemark,1
811970212,FINNEIDFJORD TANNKLINIKK AS,Hemnes,Nordland,1
811978302,POTETBAKERN DRIFT AS,Kristiansand,Agder,6
811980072,ITAB PROLIGHT AS,Oslo,Oslo,3
811982822,ELPA AS,Bergen,Vestland,8
811987212,FOODCOURT LA BAGUETTE AVD 1368 SØRLANDSSENTERET,Kristiansand,Agder,14
812000322,JOHANSEN RØRLEGGERBEDRIFT AS,Lier,Viken,1
812001132,MOIS THAIMASSASJE WERRING,Kristiansand,Agder,1
812011162,LETSFACEIT NORDIC AS,Oslo,Oslo,1
812013432,ET HÅRSTUDIO EIDSVÅG AS,Bergen,Vestland,2
812033662,LYDKROKEN SARPSBORG AS,Sarpsborg,Viken,1
812035002,ORKLAND BOWLING AS,Orkland,Trøndelag - Trööndelage,6
812036432,KOINONIA AS,Time,Rogaland,1
