date,n_companies,n_employees,total_amount,last_updated
2020-07-20,72181,381181,7718487063.0,2020-07-20T23:50:22.246212+02:00
2020-07-19,72102,380781,7716521113.0,2020-07-19T23:50:18.447601+02:00
2020-07-18,72081,380677,7715126026.0,2020-07-18T23:50:21.335962+02:00
2020-07-17,72062,380631,7709380547.0,2020-07-17T23:50:19.262495+02:00
2020-07-16,71995,380245,7702967353.0,2020-07-16T23:50:20.776417+02:00
2020-07-15,71915,379910,7689925577.0,2020-07-15T23:50:16.566792+02:00
2020-07-14,71785,379260,7675124117.0,2020-07-14T23:50:19.820089+02:00
2020-07-13,71623,378472,7659894477.0,2020-07-13T23:50:25.542076+02:00
2020-07-12,71455,377758,7656286225.0,2020-07-12T23:50:19.632519+02:00
2020-07-11,71396,377525,7654920053.0,2020-07-11T23:50:13.242368+02:00
2020-07-10,71373,377465,7637523485.0,2020-07-10T23:50:14.194905+02:00
2020-07-09,71160,376528,7617201267.0,2020-07-09T23:50:19.369579+02:00
